MasterIncidentNumber,CalendarYear,Month,DayOfMonth,Call_Type,Problem,Battalion,Jurisdiction,ResponseArea,PriorityDescription,Response Status,Districts,Location 1
13088265,2013,Sep,22,Fire,BBQ - Unsafe Cooking,B1,AFD,00-0401,4F,Code 1,-,"(30274959, 97762911)"
13101115,2013,Oct,30,Fire,TRASH - Trash Fire,B4,AFD,00-1702,3F,Code 3,-,"(30216615, 97775657)"
13101126,2013,Oct,30,Fire,ELEC - Electrical Fire,B2,AFD,00-2103,3F,Code 3,-,"(30376352, 97757237)"
13101129,2013,Oct,30,Fire,ELEC - Electrical Fire,B2,AFD,00-2103,3F,Code 1,-,"(30376352, 97757237)"
13101254,2013,Oct,30,Fire,BOXL- Structure Fire,B3,AFD,00-2601,1F,Code 3,-,"(30294255, 97626021)"
13101257,2013,Oct,30,Fire,AUTO - Auto Fire,B4,AFD,00-1712,2F,Code 3,-,"(30233257, 97798887)"
13088482,2013,Sep,23,Fire,ELEC - Electrical Fire,B1,AFD,00-0302,3F,Code 3,-,"(30304816, 97751818)"
13088538,2013,Sep,23,Fire,AUTO - Auto Fire,B3,AFD,00-4001,2F,Code 3,-,"(30405568, 97674951)"
13101327,2013,Oct,30,Fire,AUTO - Auto Fire,B3,AFD,00-2807,2F,Code 3,-,"(30437194, 97736062)"
13101341,2013,Oct,30,Fire,BOXL- Structure Fire,B2,AFD,00-2101,1F,Code 3,-,"(30355054, 97752137)"
13101345,2013,Oct,30,Fire,ELEC - Electrical Fire,B2,AFD,00-2104,3F,Code 3,-,"(30370682, 97745836)"
13101380,2013,Oct,30,Fire,BOXL- Structure Fire,B2,AFD,00-2101,1F,Code 3,-,"(30355054, 97752137)"
13101414,2013,Oct,30,Fire,ELEC - Electrical Fire,B2,AFD,00-2501,3F,Code 3,-,"(30426563, 97752925)"
13101460,2013,Oct,30,Fire,ELEC - Electrical Fire,B3,AFD,00-0801,3F,Code 3,-,"(30370667, 97716433)"
13101561,2013,Oct,31,Fire,BOXL- Structure Fire,B5,AFD,00-0601,1F,Code 3,-,"(30244931, 97746864)"
